2014-01-22 20:49:14 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 466]
2014-01-22 20:49:43 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 466]
2014-01-22 20:51:29 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 466]
2014-01-22 20:56:47 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 467]
2014-01-22 21:09:03 Notice: Notice (8): Undefined variable: radioOptions in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/helpers/form.php, line 876]
2014-01-22 21:12:27 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 468]
2014-01-23 04:40:42 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 467]
2014-01-23 04:41:06 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 467]
2014-01-23 04:42:38 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 467]
2014-01-23 07:32:49 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 39]
2014-01-23 07:32:49 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 58]
2014-01-23 07:33:50 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 58]
2014-01-23 07:33:50 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 77]
2014-01-23 07:34:11 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 57]
2014-01-23 07:34:11 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 76]
